gadm_district,gadm_state,year,month,mean_radiance,pixel_count
Ahmadabad,Gujarat,2015,5,0.6169320344924927,106263.0
Ahmadabad,Gujarat,2015,6,0.5713834166526794,106151.0
Ahmadabad,Gujarat,2015,7,0.5490104556083679,106091.0
Ahmadabad,Gujarat,2015,8,0.5304777026176453,106125.0
Ahmadabad,Gujarat,2015,9,0.5377545952796936,106264.0
Ahmadabad,Gujarat,2015,10,0.7158644795417786,106263.0
Ahmadabad,Gujarat,2015,11,0.6955472826957703,106245.0
Ahmadabad,Gujarat,2015,12,0.7201499938964844,106193.0
Ahmadabad,Gujarat,2016,1,0.7078423500061035,99284.0
Ahmadabad,Gujarat,2016,2,0.7086939215660095,102162.0
Ahmadabad,Gujarat,2016,3,0.700337827205658,105792.0
Ahmadabad,Gujarat,2016,4,0.7418118715286255,106264.0
Ahmadabad,Gujarat,2016,5,0.6496732234954834,106264.0
Ahmadabad,Gujarat,2016,6,0.6218287348747253,106262.0
Ahmadabad,Gujarat,2016,7,0.504576563835144,104959.0
Ahmadabad,Gujarat,2016,8,0.3394742906093597,104617.0
Ahmadabad,Gujarat,2016,9,0.5930496454238892,106264.0
Ahmadabad,Gujarat,2016,10,0.736401379108429,106264.0
Ahmadabad,Gujarat,2016,11,0.673527181148529,104321.0
Ahmadabad,Gujarat,2016,12,0.7073700428009033,99264.0
Ahmadabad,Gujarat,2017,1,0.71169513463974,106264.0
Ahmadabad,Gujarat,2017,2,0.8115958571434021,106264.0
Ahmadabad,Gujarat,2017,3,0.7640734910964966,106264.0
Ahmadabad,Gujarat,2017,4,0.813407301902771,106264.0
Ahmadabad,Gujarat,2017,5,0.752198338508606,106264.0
Ahmadabad,Gujarat,2017,6,0.7056323289871216,106264.0
Ahmadabad,Gujarat,2017,7,0.148562878370285,106254.0
Ahmadabad,Gujarat,2017,8,0.5460066795349121,106264.0
Ahmadabad,Gujarat,2017,9,0.931344211101532,106264.0
Ahmadabad,Gujarat,2017,10,0.8217035531997681,106264.0
Ahmadabad,Gujarat,2017,11,0.8138535618782043,106264.0
Ahmadabad,Gujarat,2017,12,0.8258715271949768,106264.0
Ahmadabad,Gujarat,2018,1,0.795924961566925,106264.0
Ahmadabad,Gujarat,2018,2,0.9052696824073792,106264.0
Ahmadabad,Gujarat,2018,3,0.8769162893295288,106264.0
Ahmadabad,Gujarat,2018,4,0.8919559717178345,106264.0
Ahmadabad,Gujarat,2018,5,0.8376088738441467,106264.0
Ahmadabad,Gujarat,2018,6,0.7764891386032104,106264.0
Ahmadabad,Gujarat,2018,7,0.0,106264.0
Ahmadabad,Gujarat,2018,8,0.5811787247657776,106263.0
Ahmadabad,Gujarat,2018,9,0.7934184670448303,106264.0
Ahmadabad,Gujarat,2018,10,0.9318642616271972,106264.0
Ahmadabad,Gujarat,2018,11,0.8687703013420105,106264.0
Ahmadabad,Gujarat,2018,12,0.8718772530555725,106264.0
Ahmadabad,Gujarat,2019,1,0.888716995716095,106262.0
Ahmadabad,Gujarat,2019,2,0.9629488587379456,106264.0
Ahmadabad,Gujarat,2019,3,0.975204348564148,106264.0
Ahmadabad,Gujarat,2019,4,0.977374255657196,106264.0
Ahmadabad,Gujarat,2019,5,0.912152111530304,106264.0
Ahmadabad,Gujarat,2019,6,0.8571136593818665,106264.0
Ahmadabad,Gujarat,2019,7,0.7670053243637085,106146.0
Ahmadabad,Gujarat,2019,8,0.4590730965137481,106263.0
Ahmadabad,Gujarat,2019,9,0.3931891024112701,106264.0
Ahmadabad,Gujarat,2019,10,0.945679783821106,106264.0
